ProvCode,AvePlast
ALSK,0
ANTA,0
APLR,0
ARAB,0
ARCH,0
ARCT,0
AUSE,0
AUSW,1
BENG,0
BERS,0
BPLR,0.180758845
BRAZ,0.107780284
CAMR,0
CARB,0.347249322
CCAL,0.170012112
CHIL,0.029009305
CHIN,1
CNRY,0
EAFR,0.001557832
ETRA,0
FKLD,0.144927536
GFST,0.477141782
GUIA,0.18034767
GUIN,0
INDE,0.1875
INDW,0
ISSG,0
KURO,0.765625
MEDI,0.245755525
MONS,0
NADR,0
NASE,0.355707325
NASW,0
NATR,0
NECS,0.112677287
NEWZ,0
NPPF,0
NPSW,0
NPTG,0.107594519
NWCS,0
PEQD,0
PNEC,0
PSAE,0
PSAW,0
REDS,0.144047619
SANT,0
SARC,0
SATL,0
SPSG,0.244765227
SSTC,0
SUND,0.208300654
TASM,0.004761905
WARM,0
WTRA,0